wavelength_in_um,n,k
1.499999999999999944e-01,1.594122819568700056e+00,0.000000000000000000e+00
1.570000000000000007e-01,1.572501349407900095e+00,0.000000000000000000e+00
1.642000000000000126e-01,1.554862542358699917e+00,0.000000000000000000e+00
1.718999999999999972e-01,1.539720519090000073e+00,0.000000000000000000e+00
1.797999999999999876e-01,1.527124421914499930e+00,0.000000000000000000e+00
1.882000000000000062e-01,1.516164219858900042e+00,0.000000000000000000e+00
1.968999999999999917e-01,1.506810851985499911e+00,0.000000000000000000e+00
2.061000000000000054e-01,1.498608009137899932e+00,0.000000000000000000e+00
2.156000000000000139e-01,1.491542452005099939e+00,0.000000000000000000e+00
2.255999999999999950e-01,1.485304128847100058e+00,0.000000000000000000e+00
2.361000000000000043e-01,1.479791117243000054e+00,0.000000000000000000e+00
2.470999999999999863e-01,1.474913604606399975e+00,0.000000000000000000e+00
2.585000000000000075e-01,1.470627441666900070e+00,0.000000000000000000e+00
2.705000000000000182e-01,1.466789337714599961e+00,0.000000000000000000e+00
2.831000000000000183e-01,1.463354599210699991e+00,0.000000000000000000e+00
2.962000000000000188e-01,1.460303085868700057e+00,0.000000000000000000e+00
3.099999999999999978e-01,1.457550317311000043e+00,0.000000000000000000e+00
3.242999999999999772e-01,1.455102346543799996e+00,0.000000000000000000e+00
3.393999999999999795e-01,1.452879980057500076e+00,0.000000000000000000e+00
3.551000000000000267e-01,1.450890632253299950e+00,0.000000000000000000e+00
3.715999999999999859e-01,1.449087689256399969e+00,0.000000000000000000e+00
3.889000000000000234e-01,1.447456022151599964e+00,0.000000000000000000e+00
4.068999999999999839e-01,1.445988342692700046e+00,0.000000000000000000e+00
4.258000000000000118e-01,1.444654189137100087e+00,0.000000000000000000e+00
4.455999999999999961e-01,1.443443112140899931e+00,0.000000000000000000e+00
4.662000000000000033e-01,1.442349691837899961e+00,0.000000000000000000e+00
4.879000000000000004e-01,1.441349058621399948e+00,0.000000000000000000e+00
5.104999999999999538e-01,1.440442755343199988e+00,0.000000000000000000e+00
5.342000000000000082e-01,1.439615048068100034e+00,0.000000000000000000e+00
5.590000000000000524e-01,1.438859885972300079e+00,0.000000000000000000e+00
5.848999999999999755e-01,1.438171220224000013e+00,0.000000000000000000e+00
6.120999999999999774e-01,1.437538798457399958e+00,0.000000000000000000e+00
6.404999999999999583e-01,1.436960476976500090e+00,0.000000000000000000e+00
6.702000000000000179e-01,1.436429703338000019e+00,0.000000000000000000e+00
7.013000000000000345e-01,1.435940916918899912e+00,0.000000000000000000e+00
7.338000000000000078e-01,1.435490629622500069e+00,0.000000000000000000e+00
7.679000000000000270e-01,1.435073052266299998e+00,0.000000000000000000e+00
8.034999999999999920e-01,1.434686575056000057e+00,0.000000000000000000e+00
8.407999999999999918e-01,1.434326322131499909e+00,0.000000000000000000e+00
8.798000000000000265e-01,1.433989902645999903e+00,0.000000000000000000e+00
9.206999999999999629e-01,1.433673418637400054e+00,0.000000000000000000e+00
9.634000000000000341e-01,1.433375544884500030e+00,0.000000000000000000e+00
1.008000000000000007e+00,1.433093443891299890e+00,0.000000000000000000e+00
1.054999999999999938e+00,1.432822316226699977e+00,0.000000000000000000e+00
1.104000000000000092e+00,1.432562830582799984e+00,0.000000000000000000e+00
1.155000000000000027e+00,1.432313024169100002e+00,0.000000000000000000e+00
1.209000000000000075e+00,1.432066563032899920e+00,0.000000000000000000e+00
1.264999999999999902e+00,1.431826513373199994e+00,0.000000000000000000e+00
1.322999999999999954e+00,1.431590953121999910e+00,0.000000000000000000e+00
1.385000000000000009e+00,1.431350454689299889e+00,0.000000000000000000e+00
1.449000000000000066e+00,1.431111395216499993e+00,0.000000000000000000e+00
1.516000000000000014e+00,1.430868359093099951e+00,0.000000000000000000e+00
1.586999999999999966e+00,1.430616298278899912e+00,0.000000000000000000e+00
1.659999999999999920e+00,1.430360713200099942e+00,0.000000000000000000e+00
1.737000000000000099e+00,1.430092935187599945e+00,0.000000000000000000e+00
1.818000000000000060e+00,1.429811299485199916e+00,0.000000000000000000e+00
1.901999999999999913e+00,1.429517520094699901e+00,0.000000000000000000e+00
1.991000000000000103e+00,1.429202704278099922e+00,0.000000000000000000e+00
2.083000000000000185e+00,1.428871953167099917e+00,0.000000000000000000e+00
2.180000000000000160e+00,1.428515993767099923e+00,0.000000000000000000e+00
2.281000000000000139e+00,1.428136215561000011e+00,0.000000000000000000e+00
2.387000000000000011e+00,1.427726452836699966e+00,0.000000000000000000e+00
2.498000000000000220e+00,1.427284017250199932e+00,0.000000000000000000e+00
2.612999999999999989e+00,1.426810267630900020e+00,0.000000000000000000e+00
2.734999999999999876e+00,1.426289662357000054e+00,0.000000000000000000e+00
2.862000000000000099e+00,1.425727156482299973e+00,0.000000000000000000e+00
2.994000000000000217e+00,1.425119475527800050e+00,0.000000000000000000e+00
3.133000000000000007e+00,1.424453435817099933e+00,0.000000000000000000e+00
3.278999999999999915e+00,1.423724252215099906e+00,0.000000000000000000e+00
3.431000000000000050e+00,1.422932167599699982e+00,0.000000000000000000e+00
3.589999999999999858e+00,1.422066955174400071e+00,0.000000000000000000e+00
3.757000000000000117e+00,1.421117159516700035e+00,0.000000000000000000e+00
3.931000000000000050e+00,1.420082103837100096e+00,0.000000000000000000e+00
4.113999999999999879e+00,1.418942727663399905e+00,0.000000000000000000e+00
4.304000000000000270e+00,1.417703904038899898e+00,0.000000000000000000e+00
4.503999999999999559e+00,1.416337550496499897e+00,0.000000000000000000e+00
4.713000000000000078e+00,1.414840475942799936e+00,0.000000000000000000e+00
4.932000000000000384e+00,1.413194809459300094e+00,0.000000000000000000e+00
5.160999999999999588e+00,1.411388575187799921e+00,0.000000000000000000e+00
5.400000000000000355e+00,1.409408969976599924e+00,0.000000000000000000e+00
5.650999999999999801e+00,1.407224466662500006e+00,0.000000000000000000e+00
5.913000000000000256e+00,1.404827051493799939e+00,0.000000000000000000e+00
6.187999999999999723e+00,1.402179688533800039e+00,0.000000000000000000e+00
6.474999999999999645e+00,1.399271047252000022e+00,0.000000000000000000e+00
6.775000000000000355e+00,1.396068292132399913e+00,0.000000000000000000e+00
7.089999999999999858e+00,1.392522854906300012e+00,0.000000000000000000e+00
7.418999999999999595e+00,1.388615410512300086e+00,0.000000000000000000e+00
7.762999999999999901e+00,1.384300591771199906e+00,0.000000000000000000e+00
8.122999999999999332e+00,1.379526970692700027e+00,0.000000000000000000e+00
8.500000000000000000e+00,1.374236081469800030e+00,0.000000000000000000e+00
8.894999999999999574e+00,1.368361232582300024e+00,0.000000000000000000e+00
9.307000000000000384e+00,1.361858574999800009e+00,0.000000000000000000e+00
9.739000000000000767e+00,1.354611882131399936e+00,0.000000000000000000e+00
1.018999999999999950e+01,1.346557041412500100e+00,0.000000000000000000e+00
1.066000000000000014e+01,1.337603810264599957e+00,0.000000000000000000e+00
1.116000000000000014e+01,1.327417270344100064e+00,0.000000000000000000e+00
1.167999999999999972e+01,1.316053870360899936e+00,0.000000000000000000e+00
1.222000000000000064e+01,1.303364732304999940e+00,0.000000000000000000e+00
1.278999999999999915e+01,1.288911208775600059e+00,0.000000000000000000e+00
1.338000000000000078e+01,1.272703826570499963e+00,0.000000000000000000e+00
1.400000000000000000e+01,1.254170106391200079e+00,0.000000000000000000e+00
